None None None None Moderate None None None None None None None None None None None None None
None None None None None None None None None None None None None None None None None None
Moderate None Moderate Moderate None None Moderate Moderate None None Moderate Moderate Moderate None Moderate None None None
None None None None None None None None None None None None Moderate Moderate None None Moderate Moderate
Moderate None None Moderate Outlier Outlier None None None None Moderate None None Outlier None None Moderate Moderate
Moderate Moderate Moderate None Moderate None Severe Moderate Severe Moderate Severe Severe Severe Moderate None None Moderate Moderate
None None None None None None None None None None None None None None Moderate Moderate Moderate Moderate
None None Moderate None None None None None None None None None None None None Moderate None None
None Moderate Moderate None None None Moderate Moderate Moderate Moderate Moderate Moderate Moderate Moderate None None Moderate Moderate
None None Moderate None None None None None None None None None None Moderate None None None Moderate
None Moderate None None None None Moderate Moderate None Moderate Moderate None Moderate None None None None None
None Moderate Moderate None None None Moderate Moderate Moderate Severe Moderate Moderate Moderate None None Moderate Moderate None
None None None None None None None None None None None None None None None None None None
None None None None None None None None None None None None None None None None None None
None None None Moderate Moderate None None None None None None None None None None Moderate Moderate None
None Moderate Moderate None None None Moderate Moderate None Moderate Moderate Moderate Severe None None Moderate None None
None Moderate Moderate Moderate Moderate None Moderate Severe Moderate Moderate Moderate Moderate Moderate Moderate None None Moderate Moderate
None None None None None None None None None None None None None None None None Moderate None
Moderate Moderate Moderate None None None Moderate Moderate Moderate Moderate Moderate Moderate Moderate None None None None None
None Moderate Moderate Moderate None None Moderate Moderate Moderate Moderate Moderate Moderate Moderate None None None None None
Moderate None None None None None None None None None None None None None Moderate Moderate None None
Moderate Moderate Moderate Moderate None None Moderate Moderate Moderate Moderate Moderate Moderate Moderate Moderate None Moderate Moderate Moderate
None None Moderate None None None None None None None None None None None None Moderate Moderate Moderate
None None None None None None None None None None None None Moderate None Moderate Moderate None None
None Moderate Moderate Moderate None None Moderate Moderate None Moderate Moderate Moderate Moderate None Moderate None None None
Moderate None None None None None None None None None None None None None Moderate None None None
Moderate Moderate Moderate Moderate None None Moderate Moderate None Moderate Moderate Moderate Moderate Moderate None Moderate Moderate Moderate
Moderate Moderate Moderate Moderate None None Moderate Moderate Moderate Moderate Moderate Moderate Moderate None Moderate Moderate None None
Moderate None None None None None None Moderate None None None None None None None None None None
Moderate Moderate Moderate Moderate None None None None None Moderate None None None Moderate None None Moderate Moderate
None None None None None None None None None None None None None None None None None None
None None None None None None None None None None None None None Moderate None None Moderate Moderate
None Moderate Moderate None None None None None None Moderate None None Moderate Moderate None None Moderate None
None None Moderate Moderate None None Moderate Moderate Moderate None Moderate Moderate None None None Severe None None
None Moderate None None None None None None None Moderate None None Moderate Moderate Moderate Moderate Moderate Moderate
None None None None None None None None None None None None None None Severe None None None
Moderate None None Moderate Moderate None None None None None None None None Moderate None Moderate Moderate Moderate
None None None Outlier Outlier Outlier None None None None Severe None None Outlier Moderate None None None
Moderate Moderate Moderate None None None Moderate Moderate Moderate Moderate Moderate Moderate Moderate None Moderate None None None
Moderate None None None Moderate None None None None None None None None None None Moderate None None
None None Moderate Moderate None None Moderate Moderate None None Moderate Moderate None None None None None None
None Moderate Moderate Moderate Moderate None Moderate Severe Moderate Moderate Moderate Moderate Moderate Moderate None None Moderate Moderate
None None None None None None None None None None None None None None None None None None
None Moderate None None None None None None None None None None Moderate None None None None None
